symbol,ok,priceBRL,status,message
YUMR34,0,,0,"fetch failed"
CC,0,,0,"fetch failed"
CT,0,,0,"fetch failed"
GF,0,,0,"fetch failed"
HE,0,,0,"fetch failed"
KC,0,,0,"fetch failed"
LE,0,,0,"fetch failed"
OJ,0,,0,"fetch failed"
SB,0,,0,"fetch failed"
ZC,0,,0,"fetch failed"
ZS,0,,0,"fetch failed"
ZW,0,,0,"fetch failed"
CCMH26,0,,0,"fetch failed"
CCMK26,0,,0,"fetch failed"
CCMU26,0,,0,"fetch failed"
SJCH26,0,,0,"fetch failed"
SJCK26,0,,0,"fetch failed"
SJCN26,0,,0,"fetch failed"
SJCX26,0,,0,"fetch failed"
BZ,0,,0,"fetch failed"
CL,0,,0,"fetch failed"
HO,0,,0,"fetch failed"
NG,0,,0,"fetch failed"
RB,0,,0,"fetch failed"
ETHG26,0,,0,"fetch failed"
ETHH26,0,,0,"fetch failed"
ALI,0,,0,"fetch failed"
GC,0,,0,"fetch failed"
GOLD11,0,,0,"fetch failed"
HG,0,,0,"fetch failed"
PA,0,,0,"fetch failed"
PL,0,,0,"fetch failed"
SI,0,,0,"fetch failed"
SLVB34,0,,0,"fetch failed"
BGI,0,,0,"fetch failed"
BGIO,0,,0,"fetch failed"
AZPL11,0,,0,"fetch failed"
BITH11,0,,0,"fetch failed"
BTHF11,0,,0,"fetch failed"
CRPT11,0,,0,"fetch failed"
DEFI11,0,,0,"fetch failed"
ETHA39,0,,0,"fetch failed"
ETHE11,0,,0,"fetch failed"
HASH11,0,,0,"fetch failed"
HODL11,0,,0,"fetch failed"
IBIT39,0,,0,"fetch failed"
QBTC11,0,,0,"fetch failed"
QETH11,0,,0,"fetch failed"
SNFZ11,0,,0,"fetch failed"
SOLH11,0,,0,"fetch failed"
BGIG26,0,,0,"fetch failed"
BGIH26,0,,0,"fetch failed"
BGIJ26,0,,0,"fetch failed"
BGIK26,0,,0,"fetch failed"
BGIM26,0,,0,"fetch failed"
BGIN26,0,,0,"fetch failed"
BGIQ26,0,,0,"fetch failed"
BGIU26,0,,0,"fetch failed"
BGIV26,0,,0,"fetch failed"
BGIX26,0,,0,"fetch failed"
BITG26,0,,0,"fetch failed"
BITH26,0,,0,"fetch failed"
BITK26,0,,0,"fetch failed"
BITN26,0,,0,"fetch failed"
BITU26,0,,0,"fetch failed"
BITZ26,0,,0,"fetch failed"
ETRG26,0,,0,"fetch failed"
ETRH26,0,,0,"fetch failed"
SOLG26,0,,0,"fetch failed"
SOLH26,0,,0,"fetch failed"
AAVE,0,,0,"fetch failed"
ADA,0,,0,"fetch failed"
ALGO,0,,0,"fetch failed"
APT,0,,0,"fetch failed"
ARB,0,,0,"fetch failed"
ATOM,0,,0,"fetch failed"
AVAX,0,,0,"fetch failed"
AXS,0,,0,"fetch failed"
BCH,0,,0,"fetch failed"
BNB,0,,0,"fetch failed"
BTC,0,,0,"fetch failed"
BUSD,0,,0,"fetch failed"
DAI,0,,0,"fetch failed"
DOGE,0,,0,"fetch failed"
DOT,0,,0,"fetch failed"
EOS,0,,0,"fetch failed"
ETH,0,,0,"fetch failed"
FDUSD,0,,0,"fetch failed"
FIL,0,,0,"fetch failed"
HBAR,0,,0,"fetch failed"
ICP,0,,0,"fetch failed"
LINK,0,,0,"fetch failed"
LTC,0,,0,"fetch failed"
MANA,0,,0,"fetch failed"
MATIC,0,,0,"fetch failed"
NEAR,0,,0,"fetch failed"
OP,0,,0,"fetch failed"
PEPE,0,,0,"fetch failed"
SAND,0,,0,"fetch failed"
SHIB,0,,0,"fetch failed"
SOL,0,,0,"fetch failed"
SUI,0,,0,"fetch failed"
TON,0,,0,"fetch failed"
TRX,0,,0,"fetch failed"
UNI,0,,0,"fetch failed"
USDC,0,,0,"fetch failed"
USDT,0,,0,"fetch failed"
VET,0,,0,"fetch failed"
XLM,0,,0,"fetch failed"
XRP,0,,0,"fetch failed"
XTZ,0,,0,"fetch failed"
BCRI11,0,,0,"fetch failed"
CACR11,0,,0,"fetch failed"
CCME11,0,,0,"fetch failed"
CPTS11,0,,0,"fetch failed"
CXRI11,0,,0,"fetch failed"
DCRA11,0,,0,"fetch failed"
GCRI11,0,,0,"fetch failed"
HCRI11,0,,0,"fetch failed"
HGCR11,0,,0,"fetch failed"
IBCR11,0,,0,"fetch failed"
ICRI11,0,,0,"fetch failed"
KCRE11,0,,0,"fetch failed"
KNCA11,0,,0,"fetch failed"
KNCR11,0,,0,"fetch failed"
KNHF11,0,,0,"fetch failed"
KNHY11,0,,0,"fetch failed"
KNIP11,0,,0,"fetch failed"
KNRE11,0,,0,"fetch failed"
KNRI11,0,,0,"fetch failed"
KNSC11,0,,0,"fetch failed"
KNUQ11,0,,0,"fetch failed"
MXRF11,0,,0,"fetch failed"
NCRI11,0,,0,"fetch failed"
RBHY11,0,,0,"fetch failed"
RBIF11,0,,0,"fetch failed"
RBOP11,0,,0,"fetch failed"
RBRL11,0,,0,"fetch failed"
RBRP11,0,,0,"fetch failed"
RBRR11,0,,0,"fetch failed"
RBRS11,0,,0,"fetch failed"
RBRX11,0,,0,"fetch failed"
RBRY11,0,,0,"fetch failed"
RECR11,0,,0,"fetch failed"
VCRI11,0,,0,"fetch failed"
VCRR11,0,,0,"fetch failed"
VGRI11,0,,0,"fetch failed"
VRTA11,0,,0,"fetch failed"
AFHI11,0,,0,"fetch failed"
AIEC11,0,,0,"fetch failed"
AJFI11,0,,0,"fetch failed"
ALZR11,0,,0,"fetch failed"
AROA11,0,,0,"fetch failed"
ARRI11,0,,0,"fetch failed"
AZIN11,0,,0,"fetch failed"
BBFO11,0,,0,"fetch failed"
BBIG11,0,,0,"fetch failed"
BBRC11,0,,0,"fetch failed"
BCIA11,0,,0,"fetch failed"
BIDB11,0,,0,"fetch failed"
BIME11,0,,0,"fetch failed"
BODB11,0,,0,"fetch failed"
BRZP11,0,,0,"fetch failed"
BTAG11,0,,0,"fetch failed"
BTAL11,0,,0,"fetch failed"
BTCI11,0,,0,"fetch failed"
BTRA11,0,,0,"fetch failed"
CARE11,0,,0,"fetch failed"
CDII11,0,,0,"fetch failed"
CLIN11,0,,0,"fetch failed"
CNES11,0,,0,"fetch failed"
CPSH11,0,,0,"fetch failed"
CPTI11,0,,0,"fetch failed"
CPTR11,0,,0,"fetch failed"
